bag,chest,foot,hand,head,neck,ring,waist,weapon
5033,Divine Robe,Dragonskin Boots,Studded Leather Gloves,"""Armageddon Bite"" Demon Crown of Titans +1",Amulet of Detection,Titanium Ring,Demonhide Belt,Quarterstaff
5034,Divine Robe,Divine Slippers,Chain Gloves,Ancient Helm of Anger,Necklace,"""Pain Whisper"" Titanium Ring of the Fox","""Armageddon Peak"" Plated Belt of Power +1",Chronicle
5035,Leather Armor,"""Sorrow Shout"" Demonhide Boots of Giants +1",Hard Leather Gloves,Linen Hood,"""Dragon Roar"" Amulet of Enlightenment",Titanium Ring,Silk Sash,"""Vortex Glow"" Scimitar of Brilliance"
5036,Dragonskin Armor of Fury,Wool Shoes,Linen Gloves,"""Armageddon Moon"" Leather Cap of Protection +1",Amulet,Silver Ring,Silk Sash of Brilliance,Maul of the Fox
5037,Hard Leather Armor of Enlightenment,Wool Shoes,Studded Leather Gloves,Leather Cap,Pendant,Silver Ring,Silk Sash,Long Sword
5038,Holy Chestplate of Titans,Silk Slippers,Demon's Hands,Ancient Helm,Pendant,Silver Ring,"""Vengeance Root"" War Belt of Rage",Tome
5039,Plate Mail,Heavy Boots of Skill,Wool Gloves,Cap of Enlightenment,Necklace of the Fox,"""Shimmering Grasp"" Gold Ring of Giants +1",Sash of Rage,Katana
5040,Plate Mail,"""Morbid Sun"" Divine Slippers of Reflection",Chain Gloves of Perfection,Demon Crown of Detection,Necklace of Anger,Titanium Ring of Perfection,Silk Sash,Warhammer
5041,Silk Robe,Leather Boots of Fury,Hard Leather Gloves,Dragon's Crown,Necklace of Enlightenment,Bronze Ring,Plated Belt,Ghost Wand of Power
5042,Ring Mail,Studded Leather Boots,Divine Gloves,Ornate Helm,Amulet,"""Corpse Root"" Gold Ring of Skill",Linen Sash,Bone Wand
5043,Linen Robe,Demonhide Boots,Hard Leather Gloves,Divine Hood,Pendant,Bronze Ring,Leather Belt of Vitriol,Scimitar
5044,Shirt,Greaves,Holy Gauntlets,Linen Hood,"""Light's Tear"" Amulet of Vitriol",Titanium Ring of Rage,Dragonskin Belt,Bone Wand
5045,Robe,Shoes of Detection,Heavy Gloves of Enlightenment,Great Helm,Necklace,Silver Ring,Plated Belt,Book
5046,Robe of Reflection,"""Eagle Moon"" Shoes of Rage +1",Silk Gloves,Full Helm of Reflection,Amulet of Power,Silver Ring of Fury,Dragonskin Belt of Enlightenment,Grave Wand of Vitriol
5047,Linen Robe,Holy Greaves of Skill,Dragonskin Gloves,Ornate Helm,Necklace,Bronze Ring,Hard Leather Belt,Short Sword
5048,Silk Robe,Holy Greaves,Leather Gloves,Silk Hood,Amulet,Silver Ring,"""Apocalypse Root"" Heavy Belt of Skill",Short Sword
5049,Dragonskin Armor,Shoes,Leather Gloves,Crown,Necklace of Detection,Gold Ring,Leather Belt,Mace of Protection
5050,"""Ghoul Roar"" Chain Mail of Reflection",Wool Shoes,Linen Gloves of Anger,War Cap,Pendant,Gold Ring,Wool Sash of Enlightenment,Club
5051,Ring Mail,Demonhide Boots,Silk Gloves,Hood,Pendant,Titanium Ring of the Twins,"""Sorrow Peak"" Silk Sash of Fury +1",Short Sword of Giants
5052,Robe,Hard Leather Boots,Chain Gloves of the Fox,Cap,Amulet of Titans,"""Rune Tear"" Bronze Ring of Vitriol",Silk Sash,Wand
5053,Linen Robe,Dragonskin Boots of Enlightenment,Dragonskin Gloves,Dragon's Crown,Pendant of the Twins,Platinum Ring,Brightsilk Sash,Mace
5054,Demon Husk,Heavy Boots of Enlightenment,Ornate Gauntlets,Full Helm,Necklace,"""Foe Grasp"" Platinum Ring of Skill +1","""Shimmering Bender"" Silk Sash of Titans +1",Mace of Protection
5055,Dragonskin Armor of Brilliance,"""Gloom Bite"" Silk Slippers of Enlightenment +1",Holy Gauntlets,Demon Crown of Brilliance,Amulet,Gold Ring,Mesh Belt,"""Vengeance Glow"" Scimitar of Vitriol"
5056,Demon Husk,Heavy Boots,Wool Gloves of Protection,Linen Hood,Amulet,Bronze Ring,Mesh Belt,Club of Perfection
5057,Studded Leather Armor,Shoes,Linen Gloves,Ancient Helm of Reflection,Necklace,Platinum Ring,"""Death Tear"" Studded Leather Belt of Skill",Quarterstaff of Brilliance
5058,Linen Robe,Linen Shoes,Holy Gauntlets,Dragon's Crown,Necklace,Bronze Ring,Wool Sash,Katana of the Twins
5059,Shirt of Protection,Greaves,"""Vortex Glow"" Ornate Gauntlets of Detection",Ancient Helm,Necklace of the Twins,Bronze Ring,Heavy Belt,"""Apocalypse Root"" Quarterstaff of Vitriol"
5060,Holy Chestplate,Greaves of the Twins,Gauntlets,Cap of Anger,Pendant,"""Bramble Glow"" Bronze Ring of Skill",Brightsilk Sash,Tome
5061,Ornate Chestplate,Ornate Greaves of Perfection,Dragonskin Gloves,Leather Cap,Necklace of Fury,Platinum Ring,Heavy Belt,Club
5062,Ring Mail,Demonhide Boots,Linen Gloves,Crown,Pendant,Silver Ring,Linen Sash,Mace
5063,Plate Mail of Vitriol,Studded Leather Boots,"""Woe Shout"" Silk Gloves of Skill +1",Ornate Helm,Pendant,Titanium Ring,"""Skull Peak"" Hard Leather Belt of Power +1",Quarterstaff
5064,Divine Robe of Fury,Studded Leather Boots,Ornate Gauntlets,Dragon's Crown,Necklace of Reflection,Platinum Ring,Demonhide Belt,Wand
5065,Shirt,Shoes,Dragonskin Gloves,Crown,Necklace,Bronze Ring,Hard Leather Belt,Grimoire
5066,Dragonskin Armor,Shoes,Leather Gloves of Skill,Leather Cap,Amulet,Bronze Ring of the Twins,Studded Leather Belt,Bone Wand of Power
5067,"""Foe Bite"" Linen Robe of Anger +1",Demonhide Boots,Wool Gloves,Linen Hood,Amulet,"""Shimmering Peak"" Titanium Ring of Anger +1",Studded Leather Belt,Grimoire
5068,Divine Robe of Enlightenment,Wool Shoes of Titans,Divine Gloves,Full Helm,"""Woe Moon"" Pendant of Brilliance +1",Titanium Ring,"""Behemoth Glow"" Studded Leather Belt of Brilliance",Short Sword
5069,"""Armageddon Peak"" Linen Robe of the Fox +1",Wool Shoes,"""Cataclysm Peak"" Hard Leather Gloves of Power +1",Helm,Pendant of Titans,Platinum Ring,Brightsilk Sash,Tome
5070,Divine Robe,Heavy Boots,Ornate Gauntlets of the Fox,"""Corruption Moon"" Divine Hood of Vitriol +1",Pendant,Titanium Ring of Rage,Plated Belt,Tome
5071,Silk Robe,Ornate Greaves,Wool Gloves of Titans,Hood,Pendant of the Fox,Gold Ring,Plated Belt,Club
5072,Plate Mail,Silk Slippers of the Twins,Holy Gauntlets,Helm,Amulet,Platinum Ring,Hard Leather Belt,Short Sword
5073,Hard Leather Armor,Linen Shoes,Divine Gloves,War Cap,Amulet,Gold Ring of Anger,Linen Sash,Chronicle
5074,Ring Mail,Wool Shoes of Power,Divine Gloves,Great Helm of Power,Amulet,Silver Ring of Vitriol,Leather Belt of Brilliance,Falchion
5075,Plate Mail,Shoes of Brilliance,Gloves,Dragon's Crown,Pendant,Gold Ring,Ornate Belt,Katana of Brilliance
5076,Holy Chestplate,Hard Leather Boots,Gloves,Full Helm of Perfection,Necklace,Platinum Ring,Mesh Belt,Chronicle
5077,Linen Robe,Heavy Boots,Gloves,Cap,Amulet,Bronze Ring,Linen Sash,Book
5078,Demon Husk,Dragonskin Boots of Anger,Gauntlets,Helm of Protection,Necklace,Bronze Ring,Linen Sash,Long Sword
5079,Divine Robe,"""Foe Bite"" Demonhide Boots of the Fox +1",Heavy Gloves,Hood,Necklace of Power,Gold Ring of Power,Silk Sash,Club
5080,Robe,"""Shimmering Bender"" Shoes of Perfection +1",Chain Gloves,Cap,Pendant,Silver Ring,Silk Sash,Mace of Detection
5081,Studded Leather Armor,Greaves,Heavy Gloves,"""Soul Root"" Ornate Helm of Brilliance",Pendant of Titans,Silver Ring,War Belt,Quarterstaff
5082,Robe,Shoes,Demon's Hands,Leather Cap,Amulet,Bronze Ring,Dragonskin Belt,"""Grim Peak"" Grimoire of the Fox +1"
5083,Divine Robe,"""Maelstrom Root"" Divine Slippers of Brilliance",Gloves,Linen Hood,Pendant of Vitriol,Gold Ring of the Fox,War Belt,Grimoire
5084,Leather Armor,Greaves of Detection,Dragonskin Gloves,"""Blight Bite"" Divine Hood of Perfection +1",Amulet,Bronze Ring,Demonhide Belt,Chronicle
5085,Demon Husk,Wool Shoes of Perfection,Divine Gloves,Divine Hood,Necklace,Titanium Ring of Enlightenment,Dragonskin Belt,Falchion
5086,Dragonskin Armor,Hard Leather Boots,Gauntlets,Helm,Pendant of Titans,Platinum Ring,Ornate Belt,Grimoire
5087,"""Plague Glow"" Chain Mail of Protection",Silk Slippers of Giants,Leather Gloves,Linen Hood of Anger,Amulet of Detection,"""Vortex Glow"" Titanium Ring of Vitriol",Demonhide Belt,Falchion
5088,Demon Husk,Shoes,Hard Leather Gloves,Cap,Necklace,Platinum Ring,Studded Leather Belt,Book of Brilliance
5089,Studded Leather Armor,Holy Greaves,Linen Gloves,"""Havoc Tear"" Linen Hood of Skill",Necklace,Silver Ring of Brilliance,Ornate Belt,Warhammer of Titans
5090,Chain Mail,Chain Boots,Leather Gloves,Cap,Necklace,Bronze Ring of Fury,Mesh Belt of Protection,Tome
5091,Studded Leather Armor,Dragonskin Boots,Gauntlets,Linen Hood,Pendant,Silver Ring,Silk Sash,Club
5092,Shirt of Rage,Leather Boots,Dragonskin Gloves of Brilliance,War Cap,Necklace,Platinum Ring,Plated Belt,Short Sword of Rage
5093,Robe,Silk Slippers of Skill,Linen Gloves,"""Soul Whisper"" Linen Hood of Fury",Necklace of Perfection,Silver Ring of Protection,Brightsilk Sash,Katana
5094,Dragonskin Armor,Shoes,Demon's Hands,Demon Crown,Amulet,Platinum Ring of Brilliance,Brightsilk Sash,Katana
5095,Divine Robe,Silk Slippers,Divine Gloves,Ornate Helm,Pendant,Silver Ring,Wool Sash,Tome
5096,Silk Robe,Ornate Greaves,Studded Leather Gloves,Silk Hood,Amulet of Titans,Platinum Ring,Wool Sash,"""Death Roar"" Club of Perfection"
5097,Divine Robe,Greaves,Holy Gauntlets of Giants,Dragon's Crown,"""Oblivion Bender"" Pendant of Titans +1",Bronze Ring of the Twins,Sash,Bone Wand
5098,Robe of Perfection,Linen Shoes,Divine Gloves,"""Victory Bender"" Divine Hood of Power +1",Necklace,Titanium Ring,"""Woe Grasp"" Demonhide Belt of Skill +1",Chronicle of Protection
5099,Leather Armor,Holy Greaves of Titans,Heavy Gloves,Great Helm,Pendant of Protection,Platinum Ring of Enlightenment,Wool Sash,Grave Wand
5100,Shirt,Greaves,Linen Gloves,Ancient Helm,Pendant,"""Dread Bite"" Gold Ring of Fury +1","""Carrion Whisper"" War Belt of Fury",Quarterstaff
5101,Holy Chestplate,Demonhide Boots,Silk Gloves,Cap,"""Hypnotic Root"" Amulet of Rage",Platinum Ring,Studded Leather Belt,Grimoire
5102,Leather Armor,Ornate Greaves,Dragonskin Gloves,Ancient Helm,Pendant,Bronze Ring,Linen Sash,Wand
5103,Holy Chestplate,Shoes,Holy Gauntlets,Great Helm,Necklace of Anger,Silver Ring of Brilliance,War Belt,Chronicle
5104,Plate Mail,Shoes,Gauntlets of Power,Linen Hood,Pendant,Silver Ring,Ornate Belt of Vitriol,Ghost Wand
5105,Holy Chestplate of Detection,Heavy Boots,Linen Gloves,Cap of Titans,Amulet,Gold Ring,"""Mind Moon"" Sash of Brilliance +1",Katana
5106,Shirt,Chain Boots,Linen Gloves,Helm,Amulet of Rage,Platinum Ring,Sash,Wand
5107,Leather Armor of Skill,Divine Slippers,Dragonskin Gloves,"""Plague Roar"" War Cap of Power",Necklace,Bronze Ring,War Belt of Perfection,Short Sword
5108,Ring Mail,"""Woe Bender"" Shoes of the Fox +1",Heavy Gloves,Hood,Amulet of Fury,Silver Ring,Dragonskin Belt of Fury,Quarterstaff
5109,Studded Leather Armor,Chain Boots,Wool Gloves,Full Helm,Amulet of Protection,Titanium Ring,Ornate Belt,Mace
5110,Leather Armor,Ornate Greaves,Dragonskin Gloves of Fury,Crown,Pendant of Giants,Titanium Ring,Dragonskin Belt,Ghost Wand
5111,Shirt,Wool Shoes,Silk Gloves,Linen Hood of Skill,Pendant,Platinum Ring,Studded Leather Belt,Scimitar
5112,Leather Armor,Divine Slippers,Heavy Gloves,"""Mind Shout"" Leather Cap of Vitriol +1",Amulet,Bronze Ring,War Belt,Wand
5113,Leather Armor,Heavy Boots,Divine Gloves,Demon Crown,Pendant,Gold Ring,Sash,Tome
5114,Demon Husk,Linen Shoes,Hard Leather Gloves of Perfection,Silk Hood,Amulet,Bronze Ring,Linen Sash,Long Sword
5115,Leather Armor,Linen Shoes of Anger,Silk Gloves,Helm,Pendant,Bronze Ring,Hard Leather Belt,Maul of Perfection
5116,Divine Robe,Chain Boots,Holy Gauntlets,Demon Crown,Necklace of Fury,Gold Ring of Giants,Brightsilk Sash,Grave Wand of Vitriol
5117,"""Sorrow Moon"" Ring Mail of Brilliance +1",Dragonskin Boots of Rage,Leather Gloves,Cap of Protection,Necklace of Power,Platinum Ring,Heavy Belt,"""Honour Bite"" Maul of Reflection +1"
5118,Robe of Vitriol,"""Armageddon Peak"" Shoes of Fury +1",Heavy Gloves,Divine Hood,Necklace,Silver Ring,Leather Belt,"""Rune Glow"" Scimitar of Vitriol"
5119,Robe,"""Corruption Bender"" Silk Slippers of Anger +1",Wool Gloves,Ancient Helm,Pendant,Platinum Ring,Brightsilk Sash,Grave Wand
5120,Ring Mail,Wool Shoes,Leather Gloves,"""Hypnotic Glow"" War Cap of Vitriol","""Blight Bender"" Pendant of Power +1",Titanium Ring of Vitriol,Hard Leather Belt,Warhammer of Reflection
5121,Shirt of Detection,Linen Shoes,Hard Leather Gloves,Leather Cap,Necklace,Platinum Ring,Sash,Quarterstaff of Protection
5122,Ornate Chestplate,Linen Shoes,Gloves,War Cap,"""Pain Sun"" Amulet of Perfection",Titanium Ring,Brightsilk Sash of Reflection,Mace
5123,Studded Leather Armor,Heavy Boots,Wool Gloves,War Cap,Necklace of Vitriol,Platinum Ring,"""Tempest Bender"" Sash of Reflection +1","""Vengeance Tear"" Wand of Protection"
5124,Ring Mail,Greaves,"""Pain Whisper"" Divine Gloves of Power",Divine Hood,Pendant,Platinum Ring,Sash of Anger,Mace of Brilliance
5125,Ring Mail of Fury,Wool Shoes,Holy Gauntlets,Helm,Necklace,"""Corruption Peak"" Silver Ring of the Fox +1",Heavy Belt of Protection,Grimoire
5126,Leather Armor of Titans,Leather Boots,Divine Gloves,Ornate Helm,Necklace,Titanium Ring,Wool Sash,Short Sword
5127,Leather Armor,Studded Leather Boots,Leather Gloves,Linen Hood,Amulet,Platinum Ring,Ornate Belt,Chronicle
5128,Leather Armor of Titans,Demonhide Boots,Studded Leather Gloves of the Twins,Great Helm,Amulet,Silver Ring,Studded Leather Belt,Quarterstaff
5129,Holy Chestplate,Holy Greaves,Gauntlets,Cap,Necklace,Gold Ring,Silk Sash of Power,Scimitar
5130,Divine Robe,Shoes,Ornate Gauntlets,War Cap,Amulet,Platinum Ring,Silk Sash,Long Sword
5131,Divine Robe of Rage,Linen Shoes,Silk Gloves,Hood,Amulet,Bronze Ring,Sash,Maul
5132,Hard Leather Armor,Holy Greaves of Rage,Holy Gauntlets,Demon Crown,Necklace,Silver Ring of the Fox,Studded Leather Belt,Grimoire
5133,Divine Robe,Leather Boots of Giants,"""Brimstone Shout"" Demon's Hands of Giants +1",Hood,Necklace of Giants,Bronze Ring,Leather Belt,Grave Wand
5134,Robe,Studded Leather Boots,Holy Gauntlets,Divine Hood,Necklace,"""Cataclysm Shout"" Bronze Ring of the Twins +1",Linen Sash,Wand of the Twins
5135,Linen Robe,Heavy Boots,Heavy Gloves,Crown,Necklace,Bronze Ring of Giants,Brightsilk Sash,Book
5136,Studded Leather Armor,Demonhide Boots,"""Grim Bite"" Silk Gloves of the Fox +1",Ancient Helm,Pendant,Silver Ring of Perfection,Wool Sash,Short Sword of Giants
5137,Chain Mail,Silk Slippers,Divine Gloves,Ornate Helm,Necklace of Fury,Titanium Ring,Plated Belt,Chronicle of Protection
5138,Leather Armor,Shoes,Chain Gloves,Hood,Amulet,"""Corpse Roar"" Silver Ring of Perfection",Demonhide Belt of Giants,"""Light's Tear"" Wand of Brilliance"
5139,Robe,Holy Greaves,Studded Leather Gloves,Divine Hood,Amulet of Rage,Platinum Ring,"""Rune Tear"" Studded Leather Belt of Giants",Katana
5140,Plate Mail,Holy Greaves,Hard Leather Gloves,Crown,"""Blight Bite"" Pendant of Titans +1",Gold Ring,Ornate Belt of Perfection,Wand
5141,"""Vengeance Glow"" Studded Leather Armor of the Twins",Linen Shoes,"""Cataclysm Bite"" Demon's Hands of Titans +1",Ancient Helm,Necklace,Gold Ring,Brightsilk Sash,Short Sword
5142,Dragonskin Armor,Studded Leather Boots,Dragonskin Gloves of Brilliance,Silk Hood of Protection,Pendant,Platinum Ring,Wool Sash,Grimoire
5143,Ring Mail,Chain Boots,Divine Gloves,Dragon's Crown,Necklace,Titanium Ring of the Twins,War Belt,Grimoire
5144,Shirt,Divine Slippers,"""Brimstone Peak"" Demon's Hands of Enlightenment +1",Dragon's Crown of Enlightenment,Amulet,Bronze Ring,Linen Sash,Warhammer
5145,Robe,Holy Greaves,Chain Gloves,War Cap,Pendant,Bronze Ring,War Belt of Fury,Bone Wand
5146,Hard Leather Armor,"""Havoc Glow"" Linen Shoes of Rage",Gloves,Divine Hood,Pendant,Platinum Ring,Wool Sash,"""Cataclysm Moon"" Book of Detection +1"
5147,Holy Chestplate,Studded Leather Boots,Ornate Gauntlets,Silk Hood of the Fox,Pendant,Titanium Ring,Heavy Belt,Book of Brilliance
5148,Chain Mail of Power,Holy Greaves,Holy Gauntlets,Full Helm,Pendant,Silver Ring,Demonhide Belt,Falchion
5149,"""Storm Glow"" Studded Leather Armor of Skill",Wool Shoes of Rage,"""Sorrow Shout"" Gloves of Skill +1","""Apocalypse Glow"" Crown of Vitriol",Pendant,Gold Ring,Plated Belt of the Fox,Scimitar
5150,Linen Robe,"""Foe Bite"" Greaves of Perfection +1",Divine Gloves of Protection,Ancient Helm of Rage,Necklace of Giants,Titanium Ring,Wool Sash,Bone Wand
5151,Ring Mail,"""Skull Peak"" Hard Leather Boots of Perfection +1",Demon's Hands,Ancient Helm of Vitriol,Amulet,Bronze Ring,Demonhide Belt,Katana of Vitriol
5152,Chain Mail,Dragonskin Boots of Perfection,Holy Gauntlets,Full Helm of Rage,Amulet,Titanium Ring,Ornate Belt of Fury,Short Sword of Rage
5153,Shirt of the Twins,Holy Greaves of Power,Chain Gloves of Brilliance,Leather Cap,Pendant,"""Hypnotic Tear"" Platinum Ring of Rage",Leather Belt,Short Sword of Protection
5154,Holy Chestplate,Ornate Greaves,Gauntlets,Great Helm,Pendant of the Fox,Titanium Ring,Mesh Belt,Grave Wand
5155,Holy Chestplate,Greaves of Power,Wool Gloves,Hood,Pendant,Titanium Ring,Dragonskin Belt,Maul
5156,Chain Mail,Chain Boots of Rage,"""Dread Shout"" Gloves of the Twins +1",Demon Crown,Necklace,Platinum Ring of the Fox,Heavy Belt,Wand
5157,"""Ghoul Tear"" Silk Robe of Protection",Leather Boots of Fury,Studded Leather Gloves,Divine Hood,Necklace of Detection,Silver Ring of Rage,War Belt,Maul of Titans
5158,Linen Robe,Divine Slippers of Fury,Wool Gloves,War Cap,Necklace of Power,Titanium Ring,War Belt of Titans,Short Sword
5159,Shirt,Ornate Greaves of Brilliance,Linen Gloves,Silk Hood,Necklace,"""Tempest Bite"" Platinum Ring of Perfection +1",Silk Sash,Chronicle
5160,Silk Robe,Linen Shoes of Brilliance,Hard Leather Gloves of Brilliance,Cap,Amulet,Silver Ring,Heavy Belt of Protection,Wand of Protection
5161,Plate Mail,Holy Greaves,Gloves,Cap,"""Mind Bite"" Pendant of Enlightenment +1",Silver Ring,Mesh Belt of Giants,Book
5162,Plate Mail,Chain Boots,Linen Gloves,Ancient Helm,Pendant,Bronze Ring of Fury,Mesh Belt,Katana
5163,Hard Leather Armor,Shoes,Studded Leather Gloves,Demon Crown,Necklace,Platinum Ring,Mesh Belt,Chronicle
5164,Ornate Chestplate,Heavy Boots,Gloves,Dragon's Crown,Necklace,"""Plague Root"" Silver Ring of Vitriol",Studded Leather Belt of Enlightenment,Bone Wand of Power
5165,Divine Robe,Hard Leather Boots,Chain Gloves,War Cap,Necklace of Enlightenment,"""Honour Moon"" Gold Ring of Protection +1",Sash,Warhammer
5166,Studded Leather Armor,Heavy Boots,Studded Leather Gloves,"""Dread Bite"" Great Helm of Fury +1",Necklace,Silver Ring,Ornate Belt,Ghost Wand
5167,Plate Mail,Holy Greaves,Heavy Gloves,Full Helm,Necklace of the Fox,"""Rage Bite"" Platinum Ring of Titans +1",Hard Leather Belt,Falchion of Fury
5168,Studded Leather Armor of Power,Dragonskin Boots,Studded Leather Gloves,Hood,Amulet of Giants,Silver Ring,Linen Sash,Quarterstaff
5169,Shirt,"""Vortex Whisper"" Heavy Boots of Perfection","""Kraken Moon"" Silk Gloves of Brilliance +1",Cap,Pendant,Platinum Ring of Rage,Brightsilk Sash,Falchion of Enlightenment
5170,Plate Mail of Vitriol,Dragonskin Boots of Enlightenment,Ornate Gauntlets,Full Helm,"""Gloom Bender"" Pendant of Power +1",Silver Ring,Mesh Belt,"""Fate Root"" Quarterstaff of the Twins"
5171,Plate Mail of Protection,Linen Shoes of Titans,Heavy Gloves,Demon Crown of Enlightenment,Necklace,"""Rune Roar"" Bronze Ring of Perfection",Sash,Mace of the Twins
5172,Demon Husk,Dragonskin Boots,Linen Gloves,"""Woe Peak"" Great Helm of Anger +1",Pendant of Titans,Bronze Ring of Anger,Plated Belt,Book
5173,Linen Robe,Dragonskin Boots,Studded Leather Gloves,Cap,Pendant,Bronze Ring of the Twins,Silk Sash,"""Woe Shout"" Grave Wand of Skill +1"
5174,Robe,Silk Slippers,Leather Gloves,Crown of Skill,Necklace of Giants,Titanium Ring,Hard Leather Belt,Maul
5175,Plate Mail,Demonhide Boots,Divine Gloves,Great Helm of Titans,Necklace,Bronze Ring,Studded Leather Belt,Short Sword of Detection
5176,Ring Mail of Vitriol,Leather Boots,Ornate Gauntlets,Demon Crown,Necklace,Gold Ring,Ornate Belt of Perfection,Katana
5177,Leather Armor,Chain Boots,Ornate Gauntlets,Cap,Necklace,Titanium Ring,Hard Leather Belt of Vitriol,Short Sword
5178,Demon Husk,Studded Leather Boots,Holy Gauntlets of Anger,Demon Crown,Pendant,"""Foe Bender"" Silver Ring of Reflection +1",Linen Sash,Long Sword
5179,Demon Husk,Wool Shoes,Holy Gauntlets of Titans,Hood,Pendant,Silver Ring,Dragonskin Belt,Falchion
5180,"""Apocalypse Tear"" Shirt of Rage","""Grim Grasp"" Silk Slippers of Giants +1",Ornate Gauntlets of Giants,Silk Hood,Pendant,Gold Ring,Demonhide Belt,"""Dusk Roar"" Club of Perfection"
5181,Ring Mail,Divine Slippers,Wool Gloves of Detection,Ornate Helm,Amulet,Platinum Ring,Linen Sash,Falchion
5182,Ring Mail,Silk Slippers,Dragonskin Gloves,Leather Cap,Necklace,Silver Ring,Brightsilk Sash,Short Sword
5183,Leather Armor,Chain Boots,Holy Gauntlets,Cap,Amulet,Bronze Ring,Mesh Belt,Katana
5184,Divine Robe,Silk Slippers,Ornate Gauntlets,Linen Hood,Pendant,Titanium Ring,Dragonskin Belt,Short Sword
5185,Studded Leather Armor,Divine Slippers,"""Cataclysm Bender"" Hard Leather Gloves of Power +1",War Cap,"""Light's Sun"" Amulet of Reflection",Titanium Ring,Wool Sash,Short Sword
5186,Dragonskin Armor,Shoes,Studded Leather Gloves,Hood,"""Fate Sun"" Amulet of Perfection",Platinum Ring of Reflection,Heavy Belt,Quarterstaff
5187,Dragonskin Armor,Studded Leather Boots,Demon's Hands,Great Helm,Amulet,Platinum Ring of Brilliance,Linen Sash,Chronicle of Rage
5188,Shirt,Greaves,Divine Gloves,Silk Hood,Pendant,Platinum Ring of Giants,Sash,Mace
5189,Robe,Linen Shoes of Rage,Dragonskin Gloves,Great Helm,"""Sorrow Moon"" Pendant of Rage +1",Platinum Ring,Demonhide Belt,Scimitar of Rage
5190,"""Pain Sun"" Shirt of Titans",Holy Greaves,Dragonskin Gloves of the Twins,Ancient Helm,Necklace,Gold Ring,Brightsilk Sash,Club
5191,"""Death Sun"" Silk Robe of Reflection",Silk Slippers,Demon's Hands,Helm,Amulet of Power,Bronze Ring,Sash,Long Sword
5192,Leather Armor of Reflection,Greaves,Ornate Gauntlets,"""Pain Tear"" Crown of Rage",Necklace,Bronze Ring,Wool Sash,Club
5193,Demon Husk,Silk Slippers,Silk Gloves,Ornate Helm,Necklace of Titans,Titanium Ring,Hard Leather Belt,Maul
5194,Leather Armor,Chain Boots of Brilliance,Heavy Gloves,Hood,Necklace,Platinum Ring,War Belt,Quarterstaff
5195,Divine Robe,Shoes,Linen Gloves,Helm,Pendant,Titanium Ring,Hard Leather Belt of Fury,"""Hypnotic Roar"" Club of Anger"
5196,Chain Mail,Wool Shoes,Dragonskin Gloves,"""Rune Tear"" Linen Hood of Giants",Amulet,Silver Ring,Wool Sash,Bone Wand
5197,Robe,"""Brimstone Bender"" Greaves of Fury +1",Ornate Gauntlets of Enlightenment,Great Helm,Amulet,Bronze Ring,Mesh Belt,Grave Wand
5198,Silk Robe,Leather Boots of the Twins,Leather Gloves,Ornate Helm,Necklace,Titanium Ring,War Belt,Chronicle
5199,Plate Mail,Holy Greaves,Ornate Gauntlets,Linen Hood,Necklace of the Twins,Platinum Ring of Enlightenment,Sash,Bone Wand
5200,Linen Robe,Demonhide Boots of Reflection,Ornate Gauntlets,Dragon's Crown,Amulet,Platinum Ring,Dragonskin Belt of Rage,Quarterstaff of Brilliance
5201,Ring Mail,"""Armageddon Moon"" Greaves of Detection +1",Leather Gloves,"""Rage Moon"" Demon Crown of the Twins +1",Amulet,Bronze Ring,Brightsilk Sash,Chronicle
5202,Demon Husk,Greaves,Holy Gauntlets,"""Carrion Glow"" War Cap of the Twins",Pendant of Fury,Platinum Ring,Heavy Belt,Short Sword
5203,Divine Robe,Leather Boots,"""Havoc Tear"" Heavy Gloves of the Twins",Crown,Necklace of Fury,Silver Ring,Wool Sash,Quarterstaff of Detection
5204,Studded Leather Armor,Dragonskin Boots,Studded Leather Gloves,Demon Crown,Necklace,Bronze Ring,Studded Leather Belt,Grimoire
5205,Plate Mail,Leather Boots,Chain Gloves,Demon Crown,Necklace,Bronze Ring,Mesh Belt,Short Sword of Brilliance
5206,Demon Husk of Reflection,Divine Slippers,Linen Gloves of Fury,Linen Hood,Necklace,Gold Ring,War Belt of Power,Short Sword
5207,Shirt,Leather Boots,Heavy Gloves,Silk Hood,Necklace,Titanium Ring of Anger,Wool Sash,Quarterstaff
5208,Divine Robe,Holy Greaves,Wool Gloves,Great Helm,Pendant,Bronze Ring,Dragonskin Belt,Grimoire
5209,Holy Chestplate,Divine Slippers,Wool Gloves,Linen Hood,Amulet of the Twins,"""Golem Roar"" Platinum Ring of the Fox",Sash,Scimitar
5210,Leather Armor,Chain Boots of Anger,Wool Gloves of Anger,Great Helm,Pendant of Reflection,Titanium Ring,Dragonskin Belt,Chronicle
5211,Shirt of Detection,Heavy Boots,Chain Gloves of the Twins,War Cap,Necklace of Vitriol,Gold Ring of Brilliance,Wool Sash,Warhammer
5212,Shirt,Shoes,Demon's Hands of the Twins,Great Helm,Amulet,Titanium Ring,Studded Leather Belt,"""Hypnotic Tear"" Wand of Brilliance"
5213,Robe of Titans,Holy Greaves,Demon's Hands,Ancient Helm of Anger,"""Oblivion Peak"" Pendant of Reflection +1",Gold Ring,Demonhide Belt,Warhammer
